Date Tweeted,Period(Hrs),Samples Tested,New Infections,Total Infections
2022-10-14 18:04:20+00:00,24,1696,29,493767
2022-10-13 17:17:37+00:00,24,2604,15,493738
2022-10-12 17:40:32+00:00,24,2197,15,493723
2022-10-11 17:35:19+00:00,24,2130,10,493708
2022-10-10 16:16:39+00:00,24,1467,14,493698
2022-10-09 17:06:58+00:00,24,834,2,493684
2022-10-08 16:41:56+00:00,24,2263,11,493682
2022-10-07 16:37:35+00:00,24,2167,17,493671
2022-10-06 16:28:14+00:00,24,2211,14,493654
2022-10-05 18:27:08+00:00,24,1925,13,493640
2022-10-04 17:40:37+00:00,24,1783,11,493627
2022-10-03 17:30:05+00:00,24,1602,28,493616
2022-10-02 17:07:25+00:00,24,1317,1,493588
2022-10-01 17:07:20+00:00,24,1458,8,493587
2022-09-30 17:12:33+00:00,24,1892,16,493579
2022-09-29 16:40:01+00:00,24,2051,8,493563
2022-09-28 16:39:36+00:00,24,2212,21,493555
2022-09-27 16:51:10+00:00,24,1287,6,493534
2022-09-26 17:30:47+00:00,24,1487,18,493528
2022-09-25 17:58:34+00:00,24,1564,5,493510
2022-09-24 16:34:54+00:00,24,1915,7,493505
2022-09-23 17:55:20+00:00,24,1968,8,493498
2022-09-22 18:15:22+00:00,24,2248,12,493490
2022-09-21 18:39:42+00:00,24,2381,17,493478
2022-09-20 18:03:50+00:00,24,1910,5,493461
2022-09-19 17:01:06+00:00,24,2030,26,493456
2022-09-18 17:53:59+00:00,24,1020,1,493430
2022-09-17 18:39:31+00:00,24,1949,6,493429
2022-09-16 17:53:31+00:00,24,2147,20,493423
2022-09-15 16:57:27+00:00,24,1906,18,493403
2022-09-14 17:58:41+00:00,24,1892,18,493385
2022-09-13 16:49:34+00:00,24,2141,14,493367
2022-09-12 16:39:11+00:00,24,1027,7,493353
2022-09-11 16:36:33+00:00,24,779,6,493346
2022-09-10 20:41:42+00:00,24,1422,7,493340
2022-09-09 18:59:55+00:00,24,1921,17,493333
2022-09-08 18:45:34+00:00,24,1941,11,493316
2022-09-07 19:23:55+00:00,24,2273,27,493305
2022-09-06 20:09:55+00:00,24,2376,6,493278
2022-09-05 20:14:07+00:00,24,1925,35,493272
2022-09-04 19:58:40+00:00,24,909,3,493237
2022-09-03 19:47:02+00:00,24,2082,10,493234
2022-09-02 19:27:22+00:00,24,2382,27,493224
2022-09-01 18:42:30+00:00,24,2261,7,493197
2022-08-31 18:45:50+00:00,24,2461,10,493190
2022-08-30 19:35:34+00:00,24,2468,13,493180
2022-08-29 20:16:45+00:00,24,1688,23,493167
2022-08-26 19:36:47+00:00,24,2662,43,493132
2022-08-25 18:54:08+00:00,24,1682,13,493089
2022-08-24 18:22:43+00:00,24,2176,44,493076
2022-08-23 18:39:58+00:00,24,2464,22,493032
2022-08-22 19:36:14+00:00,24,1829,42,493010
2022-08-21 19:23:47+00:00,24,1179,8,492968
2022-08-20 18:10:23+00:00,24,1834,25,492960
2022-08-19 18:18:25+00:00,24,2255,41,492935
2022-08-18 19:51:52+00:00,24,2038,20,492894
2022-08-17 19:07:42+00:00,24,1855,26,492874
2022-08-16 18:11:32+00:00,24,2329,32,492848
2022-08-15 18:01:35+00:00,24,2036,63,492816
2022-08-14 17:53:23+00:00,24,1554,15,492753
2022-08-13 18:49:48+00:00,24,1841,25,492738
2022-08-12 19:30:15+00:00,24,2002,46,492713
2022-08-11 18:58:34+00:00,24,2275,36,492667
2022-08-10 18:27:23+00:00,24,2434,41,492631
2022-08-09 18:40:36+00:00,24,2432,41,492590
2022-08-08 18:20:49+00:00,24,1793,58,492549
2022-08-07 19:46:51+00:00,24,1475,15,492491
2022-08-06 18:45:50+00:00,24,1564,15,492476
2022-08-06 05:16:39+00:00,24,2220,49,492461
2022-08-04 18:41:27+00:00,24,2208,37,492412
2022-08-03 18:38:55+00:00,24,2583,59,492375
2022-08-03 05:48:01+00:00,24,2801,38,492316
2022-08-01 18:18:35+00:00,24,1855,41,492278
2022-07-31 18:02:46+00:00,24,1884,43,492237
2022-07-30 19:16:56+00:00,24,2830,69,492194
2022-07-29 19:13:43+00:00,24,2863,79,492125
2022-07-28 18:30:14+00:00,24,3041,67,492046
2022-07-27 19:35:58+00:00,24,2359,62,491979
2022-07-26 19:14:42+00:00,24,3192,83,491917
2022-07-25 18:48:29+00:00,24,2278,75,491834
2022-07-24 18:57:59+00:00,24,1586,30,491759
2022-07-23 19:40:00+00:00,24,3147,87,491729
2022-07-22 17:56:25+00:00,24,2970,134,491642
2022-07-21 19:14:04+00:00,24,2915,99,491508
2022-07-20 19:09:16+00:00,24,3144,124,491409
2022-07-19 18:01:42+00:00,24,3119,113,491285
2022-07-18 19:22:37+00:00,24,2284,86,491172
2022-07-17 18:57:41+00:00,24,1944,55,491086
2022-07-16 19:12:26+00:00,24,2652,106,491031
2022-07-15 19:32:08+00:00,24,2739,109,490925
2022-07-14 19:46:56+00:00,24,2991,121,490816
2022-07-13 19:57:04+00:00,24,3293,138,490695
2022-07-12 19:17:23+00:00,24,3051,71,490557
2022-07-11 18:34:03+00:00,24,2393,116,490486
2022-07-10 18:04:51+00:00,24,1589,74,490370
2022-07-10 03:55:13+00:00,24,2343,114,490296
2022-07-08 19:13:31+00:00,24,3510,151,490182
2022-07-07 18:38:10+00:00,24,3280,185,490031
